"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"USA","HUR","TOT","PC_LF","Q","1960-Q1",5.133333,
"USA","HUR","TOT","PC_LF","Q","1960-Q2",5.233333,
"USA","HUR","TOT","PC_LF","Q","1960-Q3",5.533333,
"USA","HUR","TOT","PC_LF","Q","1960-Q4",6.266667,
"USA","HUR","TOT","PC_LF","Q","1961-Q1",6.8,
"USA","HUR","TOT","PC_LF","Q","1961-Q2",7,
"USA","HUR","TOT","PC_LF","Q","1961-Q3",6.766667,
"USA","HUR","TOT","PC_LF","Q","1961-Q4",6.2,
"USA","HUR","TOT","PC_LF","Q","1962-Q1",5.633333,
"USA","HUR","TOT","PC_LF","Q","1962-Q2",5.533333,
"USA","HUR","TOT","PC_LF","Q","1962-Q3",5.566667,
"USA","HUR","TOT","PC_LF","Q","1962-Q4",5.533333,
"USA","HUR","TOT","PC_LF","Q","1963-Q1",5.766667,
"USA","HUR","TOT","PC_LF","Q","1963-Q2",5.733333,
"USA","HUR","TOT","PC_LF","Q","1963-Q3",5.5,
"USA","HUR","TOT","PC_LF","Q","1963-Q4",5.566667,
"USA","HUR","TOT","PC_LF","Q","1964-Q1",5.466667,
"USA","HUR","TOT","PC_LF","Q","1964-Q2",5.2,
"USA","HUR","TOT","PC_LF","Q","1964-Q3",5,
"USA","HUR","TOT","PC_LF","Q","1964-Q4",4.966667,
"USA","HUR","TOT","PC_LF","Q","1965-Q1",4.9,
"USA","HUR","TOT","PC_LF","Q","1965-Q2",4.666667,
"USA","HUR","TOT","PC_LF","Q","1965-Q3",4.366667,
"USA","HUR","TOT","PC_LF","Q","1965-Q4",4.1,
"USA","HUR","TOT","PC_LF","Q","1966-Q1",3.866667,
"USA","HUR","TOT","PC_LF","Q","1966-Q2",3.833333,
"USA","HUR","TOT","PC_LF","Q","1966-Q3",3.766667,
"USA","HUR","TOT","PC_LF","Q","1966-Q4",3.7,
"USA","HUR","TOT","PC_LF","Q","1967-Q1",3.833333,
"USA","HUR","TOT","PC_LF","Q","1967-Q2",3.833333,
"USA","HUR","TOT","PC_LF","Q","1967-Q3",3.8,
"USA","HUR","TOT","PC_LF","Q","1967-Q4",3.9,
"USA","HUR","TOT","PC_LF","Q","1968-Q1",3.733333,
"USA","HUR","TOT","PC_LF","Q","1968-Q2",3.566667,
"USA","HUR","TOT","PC_LF","Q","1968-Q3",3.533333,
"USA","HUR","TOT","PC_LF","Q","1968-Q4",3.4,
"USA","HUR","TOT","PC_LF","Q","1969-Q1",3.4,
"USA","HUR","TOT","PC_LF","Q","1969-Q2",3.433333,
"USA","HUR","TOT","PC_LF","Q","1969-Q3",3.566667,
"USA","HUR","TOT","PC_LF","Q","1969-Q4",3.566667,
"USA","HUR","TOT","PC_LF","Q","1970-Q1",4.166667,
"USA","HUR","TOT","PC_LF","Q","1970-Q2",4.766667,
"USA","HUR","TOT","PC_LF","Q","1970-Q3",5.166667,
"USA","HUR","TOT","PC_LF","Q","1970-Q4",5.833333,
"USA","HUR","TOT","PC_LF","Q","1971-Q1",5.933333,
"USA","HUR","TOT","PC_LF","Q","1971-Q2",5.9,
"USA","HUR","TOT","PC_LF","Q","1971-Q3",6.033333,
"USA","HUR","TOT","PC_LF","Q","1971-Q4",5.933333,
"USA","HUR","TOT","PC_LF","Q","1972-Q1",5.766667,
"USA","HUR","TOT","PC_LF","Q","1972-Q2",5.7,
"USA","HUR","TOT","PC_LF","Q","1972-Q3",5.566667,
"USA","HUR","TOT","PC_LF","Q","1972-Q4",5.366667,
"USA","HUR","TOT","PC_LF","Q","1973-Q1",4.933333,
"USA","HUR","TOT","PC_LF","Q","1973-Q2",4.933333,
"USA","HUR","TOT","PC_LF","Q","1973-Q3",4.8,
"USA","HUR","TOT","PC_LF","Q","1973-Q4",4.766667,
"USA","HUR","TOT","PC_LF","Q","1974-Q1",5.133333,
"USA","HUR","TOT","PC_LF","Q","1974-Q2",5.2,
"USA","HUR","TOT","PC_LF","Q","1974-Q3",5.633333,
"USA","HUR","TOT","PC_LF","Q","1974-Q4",6.6,
"USA","HUR","TOT","PC_LF","Q","1975-Q1",8.266666,
"USA","HUR","TOT","PC_LF","Q","1975-Q2",8.866667,
"USA","HUR","TOT","PC_LF","Q","1975-Q3",8.466666,
"USA","HUR","TOT","PC_LF","Q","1975-Q4",8.3,
"USA","HUR","TOT","PC_LF","Q","1976-Q1",7.733333,
"USA","HUR","TOT","PC_LF","Q","1976-Q2",7.566667,
"USA","HUR","TOT","PC_LF","Q","1976-Q3",7.733333,
"USA","HUR","TOT","PC_LF","Q","1976-Q4",7.766667,
"USA","HUR","TOT","PC_LF","Q","1977-Q1",7.5,
"USA","HUR","TOT","PC_LF","Q","1977-Q2",7.133333,
"USA","HUR","TOT","PC_LF","Q","1977-Q3",6.9,
"USA","HUR","TOT","PC_LF","Q","1977-Q4",6.666667,
"USA","HUR","TOT","PC_LF","Q","1978-Q1",6.333333,
"USA","HUR","TOT","PC_LF","Q","1978-Q2",6,
"USA","HUR","TOT","PC_LF","Q","1978-Q3",6.033333,
"USA","HUR","TOT","PC_LF","Q","1978-Q4",5.9,
"USA","HUR","TOT","PC_LF","Q","1979-Q1",5.866667,
"USA","HUR","TOT","PC_LF","Q","1979-Q2",5.7,
"USA","HUR","TOT","PC_LF","Q","1979-Q3",5.866667,
"USA","HUR","TOT","PC_LF","Q","1979-Q4",5.966667,
"USA","HUR","TOT","PC_LF","Q","1980-Q1",6.3,
"USA","HUR","TOT","PC_LF","Q","1980-Q2",7.333333,
"USA","HUR","TOT","PC_LF","Q","1980-Q3",7.666667,
"USA","HUR","TOT","PC_LF","Q","1980-Q4",7.4,
"USA","HUR","TOT","PC_LF","Q","1981-Q1",7.433333,
"USA","HUR","TOT","PC_LF","Q","1981-Q2",7.4,
"USA","HUR","TOT","PC_LF","Q","1981-Q3",7.4,
"USA","HUR","TOT","PC_LF","Q","1981-Q4",8.233334,
"USA","HUR","TOT","PC_LF","Q","1982-Q1",8.833333,
"USA","HUR","TOT","PC_LF","Q","1982-Q2",9.433333,
"USA","HUR","TOT","PC_LF","Q","1982-Q3",9.9,
"USA","HUR","TOT","PC_LF","Q","1982-Q4",10.66667,
"USA","HUR","TOT","PC_LF","Q","1983-Q1",10.36667,
