DATE,PRS85006173
1960-01-01,114.090
1960-04-01,116.397
1960-07-01,115.934
1960-10-01,117.609
1961-01-01,117.026
1961-04-01,115.405
1961-07-01,114.242
1961-10-01,114.057
1962-01-01,113.495
1962-04-01,114.307
1962-07-01,113.093
1962-10-01,113.358
1963-01-01,113.540
1963-04-01,113.206
1963-07-01,111.653
1963-10-01,112.310
1964-01-01,110.976
1964-04-01,111.272
1964-07-01,111.048
1964-10-01,112.581
1965-01-01,111.083
1965-04-01,111.149
1965-07-01,109.636
1965-10-01,108.969
1966-01-01,109.059
1966-04-01,110.414
1966-07-01,110.797
1966-10-01,110.321
1967-01-01,110.393
1967-04-01,111.144
1967-07-01,111.118
1967-10-01,111.243
1968-01-01,110.581
1968-04-01,110.137
1968-07-01,111.175
1968-10-01,112.111
1969-01-01,111.422
1969-04-01,112.890
1969-07-01,113.656
1969-10-01,115.246
1970-01-01,115.722
1970-04-01,114.171
1970-07-01,113.649
1970-10-01,114.170
1971-01-01,112.003
1971-04-01,111.964
1971-07-01,111.399
1971-10-01,112.718
1972-01-01,112.699
1972-04-01,111.375
1972-07-01,111.530
1972-10-01,111.989
1973-01-01,111.750
1973-04-01,112.023
1973-07-01,113.577
1973-10-01,113.920
1974-01-01,114.214
1974-04-01,113.385
1974-07-01,114.399
1974-10-01,113.069
1975-01-01,111.936
1975-04-01,110.833
1975-07-01,109.754
1975-10-01,109.856
1976-01-01,109.090
1976-04-01,108.912
1976-07-01,109.412
1976-10-01,109.409
1977-01-01,109.234
1977-04-01,109.230
1977-07-01,108.773
1977-10-01,110.167
1978-01-01,111.716
1978-04-01,109.450
1978-07-01,109.398
1978-10-01,109.209
1979-01-01,111.231
1979-04-01,110.892
1979-07-01,111.167
1979-10-01,111.934
1980-01-01,111.683
1980-04-01,112.705
1980-07-01,113.317
1980-10-01,112.705
1981-01-01,110.357
1981-04-01,111.468
1981-07-01,110.574
1981-10-01,111.550
1982-01-01,113.605
1982-04-01,113.003
1982-07-01,113.165
1982-10-01,112.610
1983-01-01,111.821
1983-04-01,109.976
1983-07-01,108.475
1983-10-01,108.548
1984-01-01,109.067
1984-04-01,108.615
1984-07-01,108.801
1984-10-01,108.994
1985-01-01,108.816
1985-04-01,108.852
1985-07-01,108.281
1985-10-01,109.644
1986-01-01,109.346
1986-04-01,109.664
1986-07-01,110.407
1986-10-01,111.686
1987-01-01,112.050
1987-04-01,111.495
1987-07-01,111.739
1987-10-01,111.609
1988-01-01,112.386
1988-04-01,112.433
1988-07-01,112.208
1988-10-01,111.498
1989-01-01,111.182
1989-04-01,109.930
1989-07-01,109.619
1989-10-01,110.606
1990-01-01,110.641
1990-04-01,110.929
1990-07-01,111.090
1990-10-01,112.077
1991-01-01,111.365
1991-04-01,111.101
1991-07-01,110.747
1991-10-01,111.317
1992-01-01,111.763
1992-04-01,111.398
1992-07-01,111.130
1992-10-01,110.224
1993-01-01,109.595
1993-04-01,110.437
1993-07-01,109.680
1993-10-01,109.450
1994-01-01,108.130
1994-04-01,108.440
1994-07-01,108.347
1994-10-01,107.499
1995-01-01,107.614
1995-04-01,107.541
1995-07-01,107.784
1995-10-01,107.801
1996-01-01,107.958
1996-04-01,107.488
1996-07-01,107.539
1996-10-01,107.511
1997-01-01,108.340
1997-04-01,107.383
1997-07-01,107.196
1997-10-01,108.350
1998-01-01,109.468
1998-04-01,110.172
1998-07-01,110.137
1998-10-01,109.991
1999-01-01,110.332
1999-04-01,110.061
1999-07-01,109.672
1999-10-01,109.722
2000-01-01,113.291
2000-04-01,110.930
2000-07-01,112.485
2000-10-01,111.591
2001-01-01,114.083
2001-04-01,112.144
2001-07-01,111.527
2001-10-01,110.944
2002-01-01,109.189
2002-04-01,109.480
2002-07-01,108.933
2002-10-01,108.907
2003-01-01,108.034
2003-04-01,108.266
2003-07-01,107.177
2003-10-01,107.315
2004-01-01,106.427
2004-04-01,106.825
2004-07-01,107.588
2004-10-01,106.528
2005-01-01,105.143
2005-04-01,105.118
2005-07-01,104.735
2005-10-01,104.400
2006-01-01,105.031
2006-04-01,104.377
2006-07-01,104.357
2006-10-01,105.253
2007-01-01,106.730
2007-04-01,105.610
2007-07-01,104.641
2007-10-01,104.801
2008-01-01,106.310
2008-04-01,104.848
2008-07-01,104.689
2008-10-01,106.392
2009-01-01,102.529
2009-04-01,103.524
2009-07-01,102.636
2009-10-01,101.601
2010-01-01,99.910
2010-04-01,100.310
2010-07-01,100.022
2010-10-01,99.583
2011-01-01,101.648
2011-04-01,100.164
2011-07-01,100.655
2011-10-01,98.332
2012-01-01,99.805
2012-04-01,99.402
2012-07-01,99.115
2012-10-01,101.715
2013-01-01,99.488
2013-04-01,100.303
2013-07-01,99.099
2013-10-01,98.436
2014-01-01,100.997
2014-04-01,99.093
2014-07-01,98.401
2014-10-01,99.965
2015-01-01,100.519
2015-04-01,100.538
2015-07-01,100.697
2015-10-01,101.148
2016-01-01,101.004
2016-04-01,100.556
2016-07-01,100.313
2016-10-01,100.318
2017-01-01,100.886
2017-04-01,101.330
2017-07-01,101.128
2017-10-01,101.398
2018-01-01,101.268
2018-04-01,100.458
2018-07-01,100.823
2018-10-01,100.989
2019-01-01,102.141
2019-04-01,100.924
2019-07-01,100.322
2019-10-01,101.117
2020-01-01,103.764
2020-04-01,106.509
2020-07-01,102.125
2020-10-01,104.995
2021-01-01,102.315
2021-04-01,101.903
2021-07-01,102.622
2021-10-01,101.692
2022-01-01,101.912
2022-04-01,101.198
2022-07-01,100.755
2022-10-01,100.279
